@relation yeast-weka.filters.unsupervised.instance.Randomize-S29-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-V-N3-F1

@attribute f1 numeric
@attribute f2 numeric
@attribute f3 numeric
@attribute f4 numeric
@attribute f5 numeric
@attribute f6 numeric
@attribute f7 numeric
@attribute f8 numeric
@attribute class {A,E,C,B,F,I,J,G,D,H}

@data
0.53,0.68,0.34,0.42,0.5,0,0.54,0.27,E
0.67,0.61,0.39,0.24,0.5,0,0.51,0.22,E
0.39,0.58,0.5,0.26,0.5,0,0.54,0.59,E
0.49,0.49,0.4,0.2,0.5,0,0.48,0.26,E
0.52,0.55,0.39,0.09,1,0,0.55,0.25,E
0.39,0.44,0.35,0.16,0.5,0,0.55,0.22,E
0.4,0.43,0.36,0.33,0.5,0,0.51,0.22,E
0.47,0.61,0.5,0.23,0.5,0,0.49,0.22,E
0.54,0.44,0.35,0.19,0.5,0,0.51,0.27,E
0.39,0.37,0.33,0.23,0.5,0,0.52,0.26,E
0.2,0.34,0.33,0.1,0.5,0,0.48,0.31,E
0.44,0.51,0.37,0.15,0.5,0,0.51,0.22,E
0.63,0.65,0.42,0.18,0.5,0,0.54,0.27,E
0.32,0.29,0.29,0.08,0.5,0,0.52,0.22,E
0.27,0.49,0.36,0.26,0.5,0,0.49,0.26,E
0.38,0.5,0.37,0.26,0.5,0,0.43,0.22,E
0.3,0.5,0.34,0.26,0.5,0,0.51,0.22,E
0.52,0.65,0.36,0.37,0.5,0,0.52,0.34,E
0.42,0.24,0.34,0.16,0.5,0,0.5,0.22,E
0.35,0.45,0.43,0.11,0.5,0,0.56,0.22,E
0.22,0.53,0.36,0.22,0.5,0,0.54,0.31,E
0.27,0.56,0.3,0.14,0.5,0,0.52,0.39,E
0.35,0.56,0.36,0.3,0.5,0,0.53,0.25,E
0.37,0.34,0.32,0.22,0.5,0,0.56,0.22,E
0.31,0.3,0.34,0.19,0.5,0,0.55,0.3,E
0.36,0.49,0.3,0.22,0.5,0,0.52,0.31,E
0.38,0.37,0.36,0.14,0.5,0,0.54,0.22,E
0.45,0.66,0.39,0.11,0.5,0,0.54,0.22,E
0.54,0.44,0.38,0.22,0.5,0,0.54,0.3,E
0.47,0.6,0.35,0.21,0.5,0,0.52,0.22,E
0.42,0.71,0.45,0.15,0.5,0,0.48,0.22,E
0.47,0.61,0.32,0.27,0.5,0,0.5,0.3,E
0.33,0.28,0.31,0.24,0.5,0,0.53,0.22,E
0.34,0.42,0.3,0.23,0.5,0,0.53,0.22,E
0.38,0.45,0.37,0.19,0.5,0,0.52,0.3,E
0.49,0.56,0.37,0.2,0.5,0,0.53,0.22,E
0.42,0.28,0.33,0.23,0.5,0,0.39,0.26,E
0.41,0.42,0.23,0.16,0.5,0,0.4,0.22,E
0.46,0.4,0.38,0.18,0.5,0,0.49,0.22,E
0.49,0.53,0.36,0.15,0.5,0,0.52,0.27,E
0.58,0.53,0.38,0.18,0.5,0,0.52,0.22,E
0.65,0.66,0.37,0.12,0.5,0,0.52,0.27,E
0.55,0.46,0.47,0.15,0.5,0,0.47,0.22,E
0.49,0.6,0.3,0.34,0.5,0,0.5,0.43,E
0.44,0.43,0.34,0.21,0.5,0,0.55,0.4,E
0.6,0.68,0.3,0.27,0.5,0,0.55,0.22,E
0.49,0.4,0.34,0.26,0.5,0,0.5,0.22,E
0.43,0.28,0.41,0.32,0.5,0,0.52,0.22,E
0.66,0.62,0.49,0.1,0.5,0,0.49,0.22,A
0.78,0.82,0.56,0.21,0.5,0,0.69,0.22,A
0.61,0.53,0.59,0.17,0.5,0,0.44,0.28,A
0.4,0.56,0.53,0.15,0.5,0,0.49,0.22,A
0.42,0.39,0.47,0.13,0.5,0,0.5,0.27,A
0.44,0.4,0.53,0.19,0.5,0,0.48,0.27,A
0.48,0.39,0.56,0.23,0.5,0,0.6,0.22,A
0.41,0.51,0.58,0.15,0.5,0,0.45,0.27,A
0.43,0.53,0.52,0.13,0.5,0,0.55,0.22,A
0.56,0.68,0.42,0.36,0.5,0,0.49,0.22,A
0.41,0.49,0.47,0.09,0.5,0,0.49,0.22,A
0.39,0.47,0.56,0.16,0.5,0,0.47,0.22,A
0.37,0.55,0.52,0.13,0.5,0,0.42,0.8,A
0.38,0.42,0.5,0.19,0.5,0,0.44,0.22,A
0.55,0.57,0.51,0.07,0.5,0,0.55,0.22,A
0.32,0.44,0.54,0.21,0.5,0,0.4,0.19,A
0.51,0.39,0.58,0.19,0.5,0,0.47,0.22,A
0.59,0.5,0.52,0.28,0.5,0,0.55,0.25,A
0.35,0.66,0.49,0.21,0.5,0,0.54,0.25,A
0.59,0.43,0.52,0.19,0.5,0,0.55,0.27,A
0.62,0.33,0.49,0.24,0.5,0,0.51,0.42,A
0.46,0.35,0.53,0.16,0.5,0,0.51,0.29,A
0.4,0.44,0.5,0.13,0.5,0,0.52,0.39,A
0.41,0.46,0.57,0.25,0.5,0,0.57,0.38,A
0.49,0.6,0.55,0.17,0.5,0,0.44,0.22,A
0.55,0.46,0.53,0.11,0.5,0,0.52,0.48,A
0.59,0.58,0.39,0.52,0.5,0,0.5,0.31,A
0.66,0.6,0.52,0.19,0.5,0,0.69,0.22,A
0.64,0.56,0.56,0.22,0.5,0,0.45,0.22,A
0.61,0.55,0.51,0.26,0.5,0,0.52,0.22,A
0.61,0.38,0.57,0.36,0.5,0,0.44,0.21,A
0.61,0.48,0.56,0.19,0.5,0,0.53,0.31,A
0.42,0.46,0.44,0.17,0.5,0,0.51,0.42,A
0.74,0.53,0.5,0.08,0.5,0,0.55,0.31,A
0.56,0.35,0.47,0.35,0.5,0,0.52,0.22,A
0.43,0.47,0.47,0.18,0.5,0,0.47,0.22,A
0.37,0.3,0.62,0.43,0.5,0,0.44,0.39,A
0.28,0.27,0.5,0.14,0.5,0,0.5,0.28,A
0.35,0.21,1,0.8,0.5,0,0.13,0.01,A
0.51,0.4,0.5,0.28,0.5,0,0.48,0.27,A
0.44,0.39,0.53,0.14,0.5,0,0.54,0.44,A
0.42,0.53,0.57,0.17,0.5,0,0.49,0.22,A
0.38,0.51,0.75,0.17,0.5,0,0.55,0.22,A
0.62,0.58,0.52,0.15,0.5,0,0.52,0.29,A
0.63,0.43,0.48,0.11,0.5,0,0.51,0.22,A
0.52,0.46,0.51,0.18,0.5,0,0.5,0.22,A
0.71,0.5,0.5,0.18,0.5,0,0.46,0.22,A
0.47,0.39,0.55,0.24,0.5,0,0.47,0.22,A
0.48,0.55,0.48,0.1,0.5,0,0.55,0.22,A
0.31,0.31,0.57,0.15,0.5,0,0.5,0.22,A
0.45,0.5,0.57,0.29,0.5,0,0.44,0.11,A
0.48,0.44,0.46,0.37,0.5,0,0.46,0.36,A
0.41,0.49,0.65,0.28,0.5,0,0.59,0.57,A
0.62,0.43,0.49,0.29,0.5,0,0.5,0.27,A
0.49,0.44,0.51,0.18,0.5,0,0.52,0.27,A
0.51,0.52,0.58,0.17,0.5,0,0.47,0.28,A
0.71,0.59,0.53,0.15,0.5,0,0.49,0.33,A
0.52,0.5,0.6,0.2,0.5,0,0.52,0.22,A
0.6,0.5,0.57,0.25,0.5,0,0.41,0.26,A
0.38,0.4,0.53,0.12,0.5,0,0.55,0.22,A
0.46,0.35,0.69,0.18,0.5,0,0.3,0.25,A
0.52,0.46,0.56,0.2,0.5,0,0.5,0.22,A
0.47,0.46,0.49,0.27,0.5,0,0.59,0.22,A
0.52,0.43,0.61,0.22,0.5,0,0.45,0.22,A
0.44,0.71,0.5,0.21,0.5,0,0.54,0.27,A
0.35,0.4,0.53,0.18,0.5,0,0.42,0.38,A
0.29,0.46,0.54,0.27,0.5,0,0.49,0.22,A
0.43,0.52,0.53,0.52,1,0,0.49,0.22,A
0.31,0.45,0.5,0.17,0.5,0,0.49,0.22,A
0.59,0.58,0.46,0.19,0.5,0,0.56,0.27,A
0.45,0.41,0.49,0.14,1,0,0.53,0.3,A
0.39,0.39,0.59,0.25,0.5,0,0.45,0.22,A
0.39,0.55,0.48,0.31,0.5,0,0.54,0.29,A
0.32,0.32,0.52,0.18,0.5,0,0.48,0.34,A
0.58,0.44,0.5,0.26,0.5,0,0.52,0.22,A
0.46,0.55,0.61,0.13,0.5,0,0.47,0.22,A
0.52,0.51,0.48,0.12,0.5,0,0.54,0.31,A
0.66,0.62,0.52,0.17,0.5,0,0.49,0.22,A
0.46,0.47,0.62,0.3,0.5,0,0.38,0.22,A
0.56,0.62,0.53,0.24,0.5,0,0.57,0.22,A
0.69,0.39,0.52,0.12,0.5,0,0.38,0.35,A
0.48,0.42,0.48,0.19,0.5,0,0.58,0.22,A
0.43,0.33,0.54,0.37,0.5,0,0.38,0.16,A
0.63,0.54,0.53,0.27,0.5,0,0.49,0.22,A
0.59,0.46,0.48,0.46,0.5,0,0.49,0.22,A
0.6,0.47,0.45,0.22,0.5,0,0.51,0.29,A
0.46,0.46,0.53,0.23,0.5,0,0.51,0.22,A
0.49,0.46,0.54,0.18,0.5,0,0.35,0.22,A
0.41,0.4,0.56,0.17,0.5,0,0.56,0.22,A
0.65,0.65,0.52,0.16,0.5,0,0.6,0.22,A
0.54,0.55,0.55,0.4,0.5,0,0.53,0.22,A
0.65,0.54,0.54,0.13,0.5,0,0.53,0.22,A
0.37,0.33,0.5,0.12,0.5,0,0.51,0.54,A
0.51,0.43,0.47,0.19,0.5,0,0.52,0.37,A
0.57,0.49,0.5,0.2,0.5,0,0.51,0.28,A
0.55,0.63,0.54,0.16,0.5,0,0.45,0.27,A
0.58,0.6,0.51,0.24,0.5,0,0.53,0.22,A
0.77,0.57,0.45,0.17,0.5,0,0.53,0.22,A
0.56,0.42,0.52,0.14,0.5,0,0.51,0.22,A
0.38,0.43,0.53,0.22,0.5,0,0.48,0.11,A
0.25,0.4,0.54,0.16,0.5,0,0.43,0.22,A
0.4,0.28,0.58,0.44,0.5,0,0.41,0.22,A
0.38,0.42,0.5,0.19,0.5,0,0.44,0.22,A
0.46,0.33,0.45,0.22,0.5,0,0.41,0.37,A
0.63,0.64,0.49,0.2,0.5,0,0.52,0.25,A
0.63,0.64,0.45,0.26,0.5,0,0.43,0.22,A
0.46,0.44,0.58,0.17,0.5,0,0.55,0.22,A
0.59,0.51,0.48,0.12,0.5,0,0.54,0.31,A
0.56,0.52,0.55,0.19,0.5,0,0.54,0.22,A
0.57,0.61,0.45,0.26,0.5,0,0.5,0.22,A
0.49,0.48,0.52,0.24,0.5,0,0.5,0.22,A
0.38,0.51,0.75,0.17,0.5,0,0.55,0.22,A
0.38,0.5,0.52,0.44,0.5,0,0.54,0.11,A
0.59,0.51,0.48,0.12,0.5,0,0.54,0.31,A
0.4,0.48,0.5,0.17,0.5,0,0.54,0.5,A
0.54,0.51,0.56,0.15,0.5,0,0.54,0.31,A
0.5,0.45,0.51,0.19,0.5,0,0.53,0.25,A
0.39,0.58,0.5,0.1,0.5,0,0.51,0.25,A
0.47,0.5,0.55,0.19,0.5,0,0.62,0.22,A
0.44,0.42,0.6,0.21,0.5,0,0.57,0.22,A
0.38,0.49,0.54,1,0.5,0,0.5,0.27,A
0.43,0.57,0.53,0.53,0.5,0,0.53,0.25,A
0.48,0.35,0.42,0.21,0.5,0,0.57,0.22,A
0.47,0.56,0.58,0.19,0.5,0,0.44,0.64,A
0.72,0.37,0.63,0.38,0.5,0,0.4,0.14,A
0.35,0.36,0.57,0.17,0.5,0,0.52,0.22,A
0.45,0.45,0.51,0.3,0.5,0,0.48,0.44,A
0.21,0.41,0.55,0.11,0.5,0,0.5,0.27,A
0.43,0.51,0.48,0.14,0.5,0,0.5,0.22,A
0.45,0.42,0.52,0.2,0.5,0,0.5,0.25,A
0.8,0.46,0.5,0.15,0.5,0,0.53,0.22,A
0.33,0.46,0.53,0.12,0.5,0,0.5,0.27,A
0.33,0.37,0.49,0.22,0.5,0,0.55,0.22,A
0.34,0.34,0.65,0.4,0.5,0,0.32,0.16,A
0.41,0.45,0.46,0.23,0.5,0,0.5,0.7,A
0.36,0.56,0.52,0.18,0.5,0,0.45,0.16,A
0.32,0.42,0.52,0.24,0.5,0,0.6,0.22,A
0.37,0.41,0.45,0.14,0.5,0,0.47,0.22,A
0.57,0.44,0.42,0.2,0.5,0,0.54,0.22,A
0.31,0.55,0.52,0.17,0.5,0,0.52,0.22,A
0.6,0.51,0.49,0.18,0.5,0,0.53,0.38,A
0.58,0.41,0.51,0.26,0.5,0,0.51,0.37,A
0.49,0.44,0.45,0.22,0.5,0,0.51,0.22,A
0.56,0.48,0.58,0.27,0.5,0,0.51,0.22,A
0.56,0.48,0.5,0.3,0.5,0,0.51,0.22,A
0.59,0.48,0.49,0.49,0.5,0,0.36,0.32,A
